"Timestamp","Event time (seconds)","Thread","Thread-id","Level","Category","File:Line","Message"
"Dec/17/2017 14:44:18.747","0","main","1","INFO","com.tata.selenium.utils.Log","Log.java:25","$$$$$$$$$$$$$$$$$$$$$                 Start Execution -------S---T---A---R---T-        $$$$$$$$$$$$$$$$$$$$$$$$$",""
"Dec/17/2017 14:44:18.748","0","main","1","INFO","com.tata.selenium.utils.Log","Log.java:25","$$$$$$$$$$$$$$$$$$$$$                 TC_08 -------S---T---A---R---T-        $$$$$$$$$$$$$$$$$$$$$$$$$",""
"Dec/17/2017 14:44:21.229","2","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","Executing Test Case -TC_08 -with TestdataId : Data_08",""
"Dec/17/2017 14:44:21.230","2","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","Executing Test Case -TC_08 -with TestdataId : Data_08",""
"Dec/17/2017 14:44:21.231","2","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","Launching url",""
"Dec/17/2017 14:44:21.231","2","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:131","Launching url :: CHROME",""
"Dec/17/2017 14:44:21.232","2","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:166","IN CHROME LOOP",""
"Dec/17/2017 14:44:29.762","11","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","New CHROME LOCAL driver instantiated",""
"Dec/17/2017 14:44:29.762","11","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","New CHROME LOCAL driver instantiated",""
"Dec/17/2017 14:44:34.760","16","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","URL launched is : https://10.133.43.10:8443/MessagingInstance",""
"Dec/17/2017 14:44:34.761","16","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","URL launched is : https://10.133.43.10:8443/MessagingInstance",""
"Dec/17/2017 14:44:36.140","17","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","TATA Messaging Login Page appear/loaded successfully",""
"Dec/17/2017 14:44:36.140","17","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","TATA Messaging Login Page appear/loaded successfully",""
"Dec/17/2017 14:44:36.401","17","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","Username 'sonali.das@tatacommunications.com' entered sucessfully",""
"Dec/17/2017 14:44:36.402","17","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","Username 'sonali.das@tatacommunications.com' entered sucessfully",""
"Dec/17/2017 14:44:36.527","17","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","Password 'Welcome01' entered sucessfully",""
"Dec/17/2017 14:44:36.528","17","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","Password 'Welcome01' entered sucessfully",""
"Dec/17/2017 14:44:44.690","25","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","Submit Btn clicked sucessfully",""
"Dec/17/2017 14:44:44.691","25","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","Submit Btn clicked sucessfully",""
"Dec/17/2017 14:44:44.776","26","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","MessagingInstanceHomePage Page loaded successfully",""
"Dec/17/2017 14:44:44.777","26","main","1","INFO","com.tata.selenium.utils.Log","Log.java:43","MessagingInstanceHomePage Page loaded successfully",""
"Dec/17/2017 14:44:45.386","26","main","1","INFO","com.tata.selenium.utils.CommonUtils","CommonUtils.java:237","Successfully switched  to //iframe[@scrolling='no'] frame",""
